================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
100.10.30.1:34748          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB       105.141271754         2.0028
100.10.30.1:34379          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 15 kB       106.197462055         2.0027
100.10.30.1:42812          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       105.944750538         2.0029
100.10.30.1:36128          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB       107.071970528         2.0016
100.10.30.1:39741          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 15 kB       107.706943975         2.0015
100.10.30.1:40812          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 15 kB       108.200038376         2.0028
100.10.30.1:34519          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 15 kB       110.202652862         2.0029
100.10.30.1:38145          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 15 kB       109.949306339         2.0016
100.10.30.1:41182          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 13 kB       119.250577973         2.0029
100.10.30.1:41284          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 13 kB       121.253205757         2.0028
100.10.30.1:34675          <-> 100.30.0.1:8080                  4 324 bytes      15 12 kB          19 13 kB       122.833564879         2.0030
100.10.30.1:40278          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 13 kB       123.255847374         2.0030
100.10.30.1:44941          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       124.836193744         2.0019
100.10.30.1:34479          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB       125.127312099         2.0027
100.10.30.1:46513          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       125.258474209         2.0020
100.10.30.1:38602          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       126.458169998         2.0016
100.10.30.1:44646          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 15 kB       127.129757176         2.0027
100.10.30.1:44869          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       127.958863468         2.0029
100.10.30.1:45251          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB       128.707371935         2.0028
100.10.30.1:39829          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 15 kB       129.945178725         2.0017
100.10.30.1:35781          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 16 kB       129.961529117         2.0023
100.10.30.1:33651          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 13 kB       129.985101541         2.0017
100.10.30.1:33742          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB       130.709936518         2.0030
100.10.30.1:45517          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 15 kB       131.986244788         2.0027
100.10.30.1:35875          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB       132.712518467         2.0034
100.10.30.1:39806          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 15 kB       134.715409970         2.0024
100.10.30.1:46069          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       137.140285791         2.0030
100.10.30.1:42945          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       138.365912502         2.0023
100.10.30.1:33612          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       139.143026622         2.0030
100.10.30.1:33471          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       140.244057041         2.0029
100.10.30.1:38770          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       141.145693862         2.0019
100.10.30.1:32974          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       142.246709411         2.0029
100.10.30.1:39537          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 13 kB       142.457095682         2.0023
100.10.30.1:45739          <-> 100.30.0.1:8080                  4 324 bytes      15 16 kB          19 16 kB       143.147368276         2.0018
100.10.30.1:40001          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       143.764679862         2.0030
100.10.30.1:43412          <-> 100.30.0.1:8080                  4 324 bytes      15 16 kB          19 16 kB       144.249421803         2.0021
100.10.30.1:37877          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       145.767551719         2.0031
100.10.30.1:41215          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       146.664202709         2.0028
100.10.30.1:42692          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       148.164880334         2.0019
100.10.30.1:40038          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 13 kB       151.313740934         2.0030
100.10.30.1:46607          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 15 kB       154.917406922         2.0025
100.10.30.1:33413          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 13 kB       155.317437009         2.0032
100.10.30.1:45138          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 13 kB       155.772539092         2.0029
100.10.30.1:40168          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       156.714028947         2.0030
100.10.30.1:39073          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 13 kB       157.320309963         2.0032
100.10.30.1:41962          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 13 kB       159.777234716         2.0029
100.10.30.1:38776          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       160.718048795         2.0030
100.10.30.1:34616          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       161.779830479         2.0029
100.10.30.1:45328          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       162.720658864         2.0029
100.10.30.1:35377          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 15 kB       162.725105338         2.0021
100.10.30.1:45038          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       164.630159278         2.0014
100.10.30.1:33677          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 13 kB       166.007452528         2.0017
100.10.30.1:43175          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       166.432194250         2.0029
100.10.30.1:39097          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 13 kB       168.008938400         2.0029
100.10.30.1:39805          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 13 kB       169.521846097         2.0029
100.10.30.1:36975          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 13 kB       171.524487495         2.0030
100.10.30.1:44387          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       172.012527560         2.0016
100.10.30.1:45610          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 15 kB       172.762429041         2.0013
100.10.30.1:35125          <-> 100.30.0.1:8080                  4 324 bytes      15 16 kB          19 16 kB       173.059074493         2.0012
100.10.30.1:35176          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 15 kB       173.527148888         2.0026
100.10.30.1:34580          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       174.422300603         2.0048
100.10.30.1:37885          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 16 kB       174.861898762         2.0029
100.10.30.1:38555          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       175.899361667         2.0028
100.10.30.1:38543          <-> 100.30.0.1:8080                  4 324 bytes      15 12 kB          19 13 kB       176.167138062         2.0030
100.10.30.1:33811          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 16 kB       176.427063695         1.9992
100.10.30.1:45976          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 13 kB       182.643387917         2.0030
100.10.30.1:42340          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 15 kB       184.645756124         2.0020
100.10.30.1:37501          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       190.412919811         2.0027
100.10.30.1:34694          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       192.551115206         2.0023
100.10.30.1:34076          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 16 kB       192.731943440         2.0015
100.10.30.1:39585          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       193.258931865         2.0025
100.10.30.1:35886          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       194.417114963         2.0024
100.10.30.1:41764          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       196.419110702         2.0029
100.10.30.1:43279          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 15 kB       199.967669862         2.0027
100.10.30.1:44578          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB       200.765141104         2.0028
100.10.30.1:42865          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 15 kB       200.981773940         2.0041
100.10.30.1:43588          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB       202.767586169         2.0032
100.10.30.1:41030          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB       202.556130579         2.0032
100.10.30.1:35062          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 15 kB       204.770330390         2.0031
100.10.30.1:43983          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       205.606074064         2.0020
100.10.30.1:45026          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 15 kB       206.773216112         2.0025
100.10.30.1:37661          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       207.891016805         2.0016
100.10.30.1:33774          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       208.577692863         2.0016
100.10.30.1:32951          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB       211.738136889         2.0020
100.10.30.1:36857          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       211.800826578         2.0021
100.10.30.1:34239          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 15 kB       213.739749436         2.0016
100.10.30.1:38813          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB       215.161696559         2.0029
100.10.30.1:44005          <-> 100.30.0.1:8080                  4 324 bytes      15 16 kB          19 16 kB       215.449064279         2.0023
100.10.30.1:38528          <-> 100.30.0.1:8080                  4 324 bytes      15 16 kB          19 16 kB       216.683990669         2.0025
100.10.30.1:42398          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 15 kB       217.164120067         2.0019
100.10.30.1:35148          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB       217.980024327         2.0028
100.10.30.1:38182          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 14 kB       219.982440858         2.0030
100.10.30.1:40130          <-> 100.30.0.1:8080                  4 324 bytes      15 12 kB          19 13 kB       221.040540056         2.0030
100.10.30.1:42869          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 15 kB       221.985063819         2.0025
100.10.30.1:39023          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       222.769072759         2.0030
100.10.30.1:43690          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       222.450033859         2.0013
100.10.30.1:41029          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       223.043148373         2.0018
100.10.30.1:44159          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       224.771696145         2.0029
100.10.30.1:35727          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       226.226522374         2.0017
100.10.30.1:41487          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 15 kB       226.624526868         2.0001
100.10.30.1:34016          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       226.774128577         2.0030
100.10.30.1:36192          <-> 100.30.0.1:8080                  4 324 bytes      15 15 kB          19 15 kB       229.297953792         2.0014
100.10.30.1:44242          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 15 kB       229.068091124         2.0018
100.10.30.1:42839          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       234.526798018         2.0012
100.10.30.1:44844          <-> 100.30.0.1:8080                  4 324 bytes      15 14 kB          19 14 kB       236.071055944         2.0021
100.10.30.1:34528          <-> 100.30.0.1:8080                  4 324 bytes      15 13 kB          19 13 kB       236.352182363         2.0029
100.10.30.1:40588          <-> 100.30.0.1:8080                  4 324 bytes      14 12 kB          18 12 kB         1.284305621         2.0032
100.10.30.1:45132          <-> 100.30.0.1:8080                  4 324 bytes      14 12 kB          18 12 kB         1.459371095         2.0030
100.10.30.1:43712          <-> 100.30.0.1:8080                  4 324 bytes      14 12 kB          18 13 kB         2.683946001         2.0030
100.10.30.1:43348          <-> 100.30.0.1:8080                  4 324 bytes      14 11 kB          18 12 kB         2.695148410         2.0027
100.10.30.1:44063          <-> 100.30.0.1:8080                  4 324 bytes      14 12 kB          18 13 kB         2.769146278         2.0029
100.10.30.1:36828          <-> 100.30.0.1:8080                  4 324 bytes      14 13 kB          18 13 kB         2.822606681         2.0030
100.10.30.1:38274          <-> 100.30.0.1:8080                  4 324 bytes      14 11 kB          18 11 kB         4.727487076         2.0029
100.10.30.1:33959          <-> 100.30.0.1:8080                  3 242 bytes      15 14 kB          18 15 kB         4.832795518         2.0022
100.10.30.1:34365          <-> 100.30.0.1:8080                  4 324 bytes      14 12 kB          18 13 kB         4.771747020         2.0029
100.10.30.1:41710          <-> 100.30.0.1:8080                  4 324 bytes      14 12 kB          18 12 kB         5.463650862         2.0012
100.10.30.1:45458          <-> 100.30.0.1:8080                  4 324 bytes      14 11 kB          18 11 kB         7.916169944         2.0017
100.10.30.1:37533          <-> 100.30.0.1:8080                  4 324 bytes      14 11 kB          18 12 kB         7.070283934         2.0029
100.10.30.1:44309          <-> 100.30.0.1:8080                  4 324 bytes      14 12 kB          18 12 kB         7.464458823         2.0030
100.10.30.1:41784          <-> 100.30.0.1:8080                  4 324 bytes      14 11 kB          18 11 kB         8.732385873         2.0029
100.10.30.1:41380          <-> 100.30.0.1:8080                  4 324 bytes      14 11 kB          18 11 kB         9.917639864         2.0028
100.10.30.1:34421          <-> 100.30.0.1:8080                  4 324 bytes      14 12 kB          18 12 kB        10.922714553         2.0031
100.10.30.1:43807          <-> 100.30.0.1:8080                  4 324 bytes      14 11 kB          18 11 kB        11.920139339         2.0033
100.10.30.1:39182          <-> 100.30.0.1:8080                  4 324 bytes      14 11 kB          18 11 kB        14.740267041         2.0028
100.10.30.1:40715          <-> 100.30.0.1:8080                  4 324 bytes      14 12 kB          18 12 kB        16.927475885         1.9967
100.10.30.1:37207          <-> 100.30.0.1:8080                  4 324 bytes      14 11 kB          18 11 kB        17.524127452         2.0028
100.10.30.1:41990          <-> 100.30.0.1:8080                  4 324 bytes      14 12 kB          18 12 kB        18.923769133         2.0030
100.10.30.1:41946          <-> 100.30.0.1:8080                  4 324 bytes      14 11 kB          18 11 kB        19.526680862         2.0030
100.10.30.1:36871          <-> 100.30.0.1:8080                  4 324 bytes      14 11 kB          18 11 kB        19.110738395         2.0028
100.10.30.1:32797          <-> 100.30.0.1:8080                  4 324 bytes      14 11 kB          18 12 kB        20.551898617         2.0030
100.10.30.1:33743          <-> 100.30.0.1:8080                  4 324 bytes      14 13 kB          18 13 kB        20.571621329         2.0028
100.10.30.1:42230          <-> 100.30.0.1:8080                  4 324 bytes      14 12 kB          18 12 kB        20.926382532         2.0031
100.10.30.1:37117          <-> 100.30.0.1:8080                  4 324 bytes      14 11 kB          18 11 kB        21.113326554         2.0029
100.10.30.1:42781          <-> 100.30.0.1:8080                  4 324 bytes      14 11 kB          18 11 kB        21.529412992         2.0028
100.10.30.1:35686          <-> 100.30.0.1:8080                  4 324 bytes      14 12 kB          18 13 kB        21.946129112         2.0029
100.10.30.1:45516          <-> 100.30.0.1:8080                  4 324 bytes      14 13 kB          18 13 kB        22.574312748         2.0028
